file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,89,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,90,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,22
style.css,91,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,15
style.css,92,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,17
style.css,93,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,94,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,95,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,2
style.css,96,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,97,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,98,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,99,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,7
style.css,100,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,101,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,17
style.css,102,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,103,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,104,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,10
style.css,105,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,106,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,19
style.css,107,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,43
style.css,108,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,20
style.css,109,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,110,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,111,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,10
style.css,112,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,113,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,14
style.css,114,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,19
style.css,115,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,116,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,0
style.css,117,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,0,47
style.css,118,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,13
style.css,119,css,d903d8cb,aarshiagupta,2025-04-11,19:25:46,-07:00,2025-04-11T19:25:46-07:00,1,15
